strain	sample	accession	lineage	city	state	country	host	collection	date	source	authors	url	title	journal	paper_url
PV245-17091-11-001_LII_Stillwater_NY_USA_Ixodes-scapularis_M_Deer_2017-11-18	17091-11-001		LII	Stillwater_NY	New-York	USA	Ixodes-scapularis_M	Deer	2017-11-18	NYSDOH	Vogels et al.				
PV246-17091-23-002_LII_Saratoga_NY_USA_Ixodes-scapularis_M_Deer_2017-11-18	17091-23-002		LII	Saratoga_NY	New-York	USA	Ixodes-scapularis_M	Deer	2017-11-18	NYSDOH	Vogels et al.				
PV247-17091-24-003_LII_Ballston-Spa_NY_USA_Ixodes-scapularis_M_Deer_2017-11-18	17091-24-003		LII	Ballston-Spa_NY	New-York	USA	Ixodes-scapularis_M	Deer	2017-11-18	NYSDOH	Vogels et al.				
PV248-17091-27-004_LII_Clifton-Park_NY_USA_Ixodes-scapularis_M_Deer_2017-11-19	17091-27-004		LII	Clifton-Park_NY	New-York	USA	Ixodes-scapularis_M	Deer	2017-11-19	NYSDOH	Vogels et al.				
PV249-17091-391_LII_Wilton_NY_USA_Ixodes-scapularis_F_Drag_2017-10-27	17091-391		LII	Wilton_NY	New-York	USA	Ixodes-scapularis_F	Drag	2017-10-27	NYSDOH	Vogels et al.				
PV250-17091-457_LII_Saratoga-Springs_NY_USA_Ixodes-scapularis_F_Drag_2017-11-09	17091-457		LII	Saratoga-Springs_NY	New-York	USA	Ixodes-scapularis_F	Drag	2017-11-09	NYSDOH	Vogels et al.				
PV251-17091-474_LII_Greenfield_NY_USA_Ixodes-scapularis_F_Drag_2017-11-09	17091-474		LII	Greenfield_NY	New-York	USA	Ixodes-scapularis_F	Drag	2017-11-09	NYSDOH	Vogels et al.				
PV252-17091-500_LII_Northumberland_NY_USA_Ixodes-scapularis_M_Drag_2017-11-15	17091-500		LII	Northumberland_NY	New-York	USA	Ixodes-scapularis_M	Drag	2017-11-15	NYSDOH	Vogels et al.				
PV253-17091-536_LII_Stillwater_NY_USA_Ixodes-scapularis_M_Drag_2017-11-15	17091-536		LII	Stillwater_NY	New-York	USA	Ixodes-scapularis_M	Drag	2017-11-15	NYSDOH	Vogels et al.				
PV254-17091-654_LII_Malta_NY_USA_Ixodes-scapularis_F_Drag_2017-11-09	17091-654		LII	Malta_NY	New-York	USA	Ixodes-scapularis_F	Drag	2017-11-09	NYSDOH	Vogels et al.				
